id;cliente;accion_id;accion;operacion;precio;cantidad;fecha_operacion;modo;estado
1;29619;61443;neural Tanzania;Pound;5996;65212;input;Loan markets;Illinois e-commerce
2;78867;13930;Won Human SQL;website;2289;56907;solid Taiwan;Car;Tactics New Account
3;48257;65731;mobile Ergonomic complexity;back-end Central;20596;52118;green;copying Dam;Legacy Maryland copying
4;52800;9735;monitoring Account;tertiary reboot Awesome;15091;78975;Steel Rial program;utilisation driver;input Legacy Reactive
5;47820;67330;Technician Lead;grey;59537;85862;purple monetize Street;Planner Fresh Bacon;bypassing action-items Metal
6;29697;56580;microchip;intranet Triple-buffered;75710;75077;Garden models turn-key;vortals Turks;Frozen
7;3828;18425;Decentralized Card Assistant;Fantastic;74332;3687;Cambridgeshire Shirt holistic;implementation optimize;wireless navigate
8;12459;91305;quantifying Investment COM;system leverage back-end;44895;7559;Lead Beauty Personal;Car;Frozen
9;28239;28085;Intelligent;Small;25446;53943;Generic Garden;Clothing Buckinghamshire Nevada;Leone
10;3194;57951;Wooden directional;background bluetooth Granite;88921;55216;Concrete SAS;Supervisor Cape;Industrial Bedfordshire Beauty
