GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Final P 2,com.mycompany.myapp.domain,Orden_,3,0,0,0,1,0,1,0,1,0
Final P 2,com.mycompany.myapp.domain,AbstractAuditingEntity,28,9,0,0,12,5,8,1,8,1
Final P 2,com.mycompany.myapp.domain,User,139,14,8,0,46,4,33,1,29,1
Final P 2,com.mycompany.myapp.domain,AbstractAuditingEntity_,3,0,0,0,1,0,1,0,1,0
Final P 2,com.mycompany.myapp.domain,Orden,170,3,8,0,67,1,37,1,33,1
Final P 2,com.mycompany.myapp.domain,User_,3,0,0,0,1,0,1,0,1,0
Final P 2,com.mycompany.myapp.domain,Authority_,3,0,0,0,1,0,1,0,1,0
Final P 2,com.mycompany.myapp.domain,Authority,35,0,4,0,11,0,8,0,6,0
Final P 2,com.mycompany.myapp.security.jwt,JWTFilter,51,0,8,0,14,0,7,0,3,0
Final P 2,com.mycompany.myapp.security.jwt,TokenProvider,164,58,5,1,41,13,7,1,4,1
Final P 2,com.mycompany.myapp.security.jwt,JWTConfigurer,18,0,0,0,6,0,2,0,2,0
Final P 2,com.mycompany.myapp,ApplicationWebXml,15,0,0,0,3,0,2,0,2,0
Final P 2,com.mycompany.myapp,FinalP2App,123,24,8,2,24,10,8,3,3,3
Final P 2,com.mycompany.myapp.management,SecurityMetersService,16,41,0,0,8,11,4,2,4,2
Final P 2,com.mycompany.myapp.service,GetClienteService,20,0,0,0,5,0,2,0,2,0
Final P 2,com.mycompany.myapp.service,EmailAlreadyUsedException,4,0,0,0,2,0,1,0,1,0
Final P 2,com.mycompany.myapp.service,UsernameAlreadyUsedException,4,0,0,0,2,0,1,0,1,0
Final P 2,com.mycompany.myapp.service,MailService,181,0,2,0,42,0,7,0,6,0
Final P 2,com.mycompany.myapp.service,InvalidPasswordException,4,0,0,0,2,0,1,0,1,0
Final P 2,com.mycompany.myapp.service,UserService,623,0,22,0,178,0,40,0,29,0
Final P 2,com.mycompany.myapp.service.dto,UserDTO,34,0,0,0,13,0,7,0,7,0
Final P 2,com.mycompany.myapp.service.dto,AdminUserDTO,187,0,0,0,58,0,29,0,29,0
Final P 2,com.mycompany.myapp.service.dto,PasswordChangeDTO,26,0,0,0,12,0,6,0,6,0
Final P 2,com.mycompany.myapp.config,CacheConfiguration,15,52,1,1,4,18,3,5,2,5
Final P 2,com.mycompany.myapp.config,LoggingConfiguration,11,42,4,4,3,12,4,1,0,1
Final P 2,com.mycompany.myapp.config,CRLFLogConverter,127,0,12,0,23,0,11,0,5,0
Final P 2,com.mycompany.myapp.config,LocaleConfiguration,21,3,0,0,7,1,2,1,2,1
Final P 2,com.mycompany.myapp.config,ApplicationProperties,3,0,0,0,1,0,1,0,1,0
Final P 2,com.mycompany.myapp.config,WebConfigurer,59,34,6,2,14,9,6,2,2,2
Final P 2,com.mycompany.myapp.config,LiquibaseConfiguration,4,91,1,1,1,23,1,2,0,2
Final P 2,com.mycompany.myapp.config,JacksonConfiguration,0,23,0,0,0,6,0,6,0,6
Final P 2,com.mycompany.myapp.config,DatabaseConfiguration,40,10,4,0,10,4,4,1,2,1
Final P 2,com.mycompany.myapp.config,SecurityConfiguration,200,15,0,0,36,6,3,1,3,1
Final P 2,com.mycompany.myapp.config,LoggingAspectConfiguration,5,3,0,0,1,1,1,1,1,1
Final P 2,com.mycompany.myapp.config,AsyncConfiguration,50,0,0,0,12,0,3,0,3,0
Final P 2,com.mycompany.myapp.config,DateTimeFormatConfiguration,11,3,0,0,4,1,1,1,1,1
Final P 2,com.mycompany.myapp.aop.logging,LoggingAspect,116,0,10,0,27,0,11,0,6,0
