GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Final P 2,com.mycompany.myapp.domain,Orden_,3,0,0,0,1,0,1,0,1,0
Final P 2,com.mycompany.myapp.domain,AbstractAuditingEntity,16,21,0,0,8,9,4,5,4,5
Final P 2,com.mycompany.myapp.domain,User,70,83,8,0,17,33,14,20,10,20
Final P 2,com.mycompany.myapp.domain,AbstractAuditingEntity_,3,0,0,0,1,0,1,0,1,0
Final P 2,com.mycompany.myapp.domain,Orden,86,87,0,8,38,30,19,19,19,15
Final P 2,com.mycompany.myapp.domain,User_,3,0,0,0,1,0,1,0,1,0
Final P 2,com.mycompany.myapp.domain,Authority_,3,0,0,0,1,0,1,0,1,0
Final P 2,com.mycompany.myapp.domain,Authority,21,14,4,0,6,5,4,4,2,4
Final P 2,com.mycompany.myapp.security.jwt,JWTFilter,0,51,0,8,0,14,0,7,0,3
Final P 2,com.mycompany.myapp.security.jwt,TokenProvider,10,212,2,4,1,53,2,6,0,5
Final P 2,com.mycompany.myapp.security.jwt,JWTConfigurer,18,0,0,0,6,0,2,0,2,0
Final P 2,com.mycompany.myapp,ApplicationWebXml,15,0,0,0,3,0,2,0,2,0
Final P 2,com.mycompany.myapp,FinalP2App,147,0,10,0,34,0,11,0,6,0
Final P 2,com.mycompany.myapp.management,SecurityMetersService,0,57,0,0,0,19,0,6,0,6
Final P 2,com.mycompany.myapp.service,GetClienteService,20,0,0,0,5,0,2,0,2,0
Final P 2,com.mycompany.myapp.service,EmailAlreadyUsedException,4,0,0,0,2,0,1,0,1,0
Final P 2,com.mycompany.myapp.service,UsernameAlreadyUsedException,4,0,0,0,2,0,1,0,1,0
Final P 2,com.mycompany.myapp.service,MailService,181,0,2,0,42,0,7,0,6,0
Final P 2,com.mycompany.myapp.service,InvalidPasswordException,4,0,0,0,2,0,1,0,1,0
Final P 2,com.mycompany.myapp.service,UserService,623,0,22,0,178,0,40,0,29,0
Final P 2,com.mycompany.myapp.service.dto,UserDTO,23,11,0,0,9,4,6,1,6,1
Final P 2,com.mycompany.myapp.service.dto,AdminUserDTO,92,95,0,0,31,27,18,11,18,11
Final P 2,com.mycompany.myapp.service.dto,PasswordChangeDTO,26,0,0,0,12,0,6,0,6,0
Final P 2,com.mycompany.myapp.config,CacheConfiguration,67,0,2,0,22,0,8,0,7,0
Final P 2,com.mycompany.myapp.config,LoggingConfiguration,53,0,8,0,15,0,5,0,1,0
Final P 2,com.mycompany.myapp.config,CRLFLogConverter,127,0,12,0,23,0,11,0,5,0
Final P 2,com.mycompany.myapp.config,LocaleConfiguration,24,0,0,0,8,0,3,0,3,0
Final P 2,com.mycompany.myapp.config,ApplicationProperties,3,0,0,0,1,0,1,0,1,0
Final P 2,com.mycompany.myapp.config,WebConfigurer,39,54,5,3,9,14,5,3,2,2
Final P 2,com.mycompany.myapp.config,LiquibaseConfiguration,95,0,2,0,24,0,3,0,2,0
Final P 2,com.mycompany.myapp.config,JacksonConfiguration,23,0,0,0,6,0,6,0,6,0
Final P 2,com.mycompany.myapp.config,DatabaseConfiguration,50,0,4,0,14,0,5,0,3,0
Final P 2,com.mycompany.myapp.config,SecurityConfiguration,215,0,0,0,42,0,4,0,4,0
Final P 2,com.mycompany.myapp.config,LoggingAspectConfiguration,8,0,0,0,2,0,2,0,2,0
Final P 2,com.mycompany.myapp.config,AsyncConfiguration,50,0,0,0,12,0,3,0,3,0
Final P 2,com.mycompany.myapp.config,DateTimeFormatConfiguration,14,0,0,0,5,0,2,0,2,0
Final P 2,com.mycompany.myapp.aop.logging,LoggingAspect,116,0,10,0,27,0,11,0,6,0
Final P 2,com.mycompany.myapp.service.mapper,UserMapper,102,118,12,6,27,33,12,11,6,8
Final P 2,com.mycompany.myapp.web.rest.errors,ErrorConstants,16,0,0,0,5,0,1,0,1,0
Final P 2,com.mycompany.myapp.web.rest.errors,EmailAlreadyUsedException,7,0,0,0,2,0,1,0,1,0
Final P 2,com.mycompany.myapp.web.rest.errors,FieldErrorVM,21,0,0,0,8,0,4,0,4,0
Final P 2,com.mycompany.myapp.web.rest.errors,BadRequestAlertException,48,0,0,0,12,0,5,0,5,0
Final P 2,com.mycompany.myapp.web.rest.errors,InvalidPasswordException,6,0,0,0,2,0,1,0,1,0
Final P 2,com.mycompany.myapp.web.rest.errors,ExceptionTranslator,409,0,26,0,91,0,28,0,15,0
Final P 2,com.mycompany.myapp.web.rest.errors,LoginAlreadyUsedException,7,0,0,0,2,0,1,0,1,0
Final P 2,com.mycompany.myapp.web.rest,AccountResource,204,0,24,0,55,0,24,0,12,0
Final P 2,com.mycompany.myapp.web.rest,HTTPResource,20,0,0,0,8,0,4,0,4,0
Final P 2,com.mycompany.myapp.web.rest,AccountResource.AccountResourceException,4,0,0,0,2,0,1,0,1,0
Final P 2,com.mycompany.myapp.web.rest,PublicUserResource,88,0,2,0,14,0,6,0,5,0
Final P 2,com.mycompany.myapp.web.rest,OrdenResource,284,0,32,0,67,0,24,0,8,0
